propertyCode,pullDateId,CancellationReason,CxlDate,Resv,RoomNights,RoomRev
US000009,919,UNKNOWN,2023-08-06,5,8,"$1,439.12"
US000009,919,USER ERROR,2023-08-06,0,0,$0.00
US000009,919,WEATHER,2023-08-06,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-07,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-07,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-07,1,3,$571.50
US000009,919,DUPLICATE RESERVATION,2023-08-07,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-07,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-07,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-07,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-07,0,0,$0.00
US000009,919,NON - GTD,2023-08-07,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-07,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-07,0,0,$0.00
US000009,919,UNKNOWN,2023-08-07,5,15,"$2,246.03"
US000009,919,USER ERROR,2023-08-07,0,0,$0.00
US000009,919,WEATHER,2023-08-07,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-08,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-08,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-08,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-08,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-08,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-08,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-08,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-08,0,0,$0.00
US000009,919,NON - GTD,2023-08-08,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-08,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-08,0,0,$0.00
US000009,919,UNKNOWN,2023-08-08,1,1,$126.00
US000009,919,USER ERROR,2023-08-08,0,0,$0.00
US000009,919,WEATHER,2023-08-08,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-09,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-09,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-09,2,2,$239.00
US000009,919,DUPLICATE RESERVATION,2023-08-09,1,1,$143.00
US000009,919,FAMILY EMERGENCY,2023-08-09,1,1,$208.00
US000009,919,FLIGHT CANCELLATION,2023-08-09,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-09,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-09,0,0,$0.00
US000009,919,NON - GTD,2023-08-09,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-09,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-09,0,0,$0.00
US000009,919,UNKNOWN,2023-08-09,4,5,$677.89
US000009,919,USER ERROR,2023-08-09,0,0,$0.00
US000009,919,WEATHER,2023-08-09,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-10,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-10,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-10,3,6,"$1,044.90"
US000009,919,DUPLICATE RESERVATION,2023-08-10,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-10,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-10,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-10,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-10,0,0,$0.00
US000009,919,NON - GTD,2023-08-10,3,5,$921.70
US000009,919,RATE RESISTANCE,2023-08-10,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-10,0,0,$0.00
US000009,919,UNKNOWN,2023-08-10,1,1,$133.20
US000009,919,USER ERROR,2023-08-10,0,0,$0.00
US000009,919,WEATHER,2023-08-10,1,1,$178.00
US000009,919,4PM GUARANTEE,2023-08-11,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-11,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-11,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-11,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-11,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-11,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-11,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-11,0,0,$0.00
US000009,919,NON - GTD,2023-08-11,3,6,$793.80
US000009,919,RATE RESISTANCE,2023-08-11,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-11,0,0,$0.00
US000009,919,UNKNOWN,2023-08-11,2,3,$433.65
US000009,919,USER ERROR,2023-08-11,1,1,$98.00
US000009,919,WEATHER,2023-08-11,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-12,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-12,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-12,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-12,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-12,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-12,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-12,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-12,0,0,$0.00
US000009,919,NON - GTD,2023-08-12,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-12,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-12,0,0,$0.00
US000009,919,UNKNOWN,2023-08-12,1,2,$212.90
US000009,919,USER ERROR,2023-08-12,0,0,$0.00
US000009,919,WEATHER,2023-08-12,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-13,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-13,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-13,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-13,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-13,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-13,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-13,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-13,0,0,$0.00
US000009,919,NON - GTD,2023-08-13,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-13,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-13,0,0,$0.00
US000009,919,UNKNOWN,2023-08-13,4,7,"$1,105.28"
US000009,919,USER ERROR,2023-08-13,0,0,$0.00
US000009,919,WEATHER,2023-08-13,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-14,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-14,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-14,3,3,$483.90
US000009,919,DUPLICATE RESERVATION,2023-08-14,3,3,$366.94
US000009,919,FAMILY EMERGENCY,2023-08-14,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-14,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-14,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-14,0,0,$0.00
US000009,919,NON - GTD,2023-08-14,2,2,$276.60
US000009,919,RATE RESISTANCE,2023-08-14,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-14,0,0,$0.00
US000009,919,UNKNOWN,2023-08-14,7,10,"$1,957.68"
US000009,919,USER ERROR,2023-08-14,0,0,$0.00
US000009,919,WEATHER,2023-08-14,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-15,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-15,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-15,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-15,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-15,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-15,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-15,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-15,0,0,$0.00
US000009,919,NON - GTD,2023-08-15,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-15,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-15,0,0,$0.00
US000009,919,UNKNOWN,2023-08-15,4,5,$787.30
US000009,919,USER ERROR,2023-08-15,0,0,$0.00
US000009,919,WEATHER,2023-08-15,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-16,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-16,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-16,2,2,$428.65
US000009,919,DUPLICATE RESERVATION,2023-08-16,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-16,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-16,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-16,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-16,0,0,$0.00
US000009,919,NON - GTD,2023-08-16,1,1,$173.00
US000009,919,RATE RESISTANCE,2023-08-16,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-16,2,2,$343.40
US000009,919,UNKNOWN,2023-08-16,4,5,$894.95
US000009,919,USER ERROR,2023-08-16,0,0,$0.00
US000009,919,WEATHER,2023-08-16,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-17,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-17,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-17,3,3,$648.60
US000009,919,DUPLICATE RESERVATION,2023-08-17,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-17,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-17,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-17,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-17,0,0,$0.00
US000009,919,NON - GTD,2023-08-17,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-17,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-17,0,0,$0.00
US000009,919,UNKNOWN,2023-08-17,0,0,$0.00
US000009,919,USER ERROR,2023-08-17,0,0,$0.00
US000009,919,WEATHER,2023-08-17,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-18,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-18,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-18,2,4,$528.27
US000009,919,DUPLICATE RESERVATION,2023-08-18,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-18,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-18,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-18,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-18,0,0,$0.00
US000009,919,NON - GTD,2023-08-18,2,2,$635.00
US000009,919,RATE RESISTANCE,2023-08-18,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-18,1,1,$194.00
US000009,919,UNKNOWN,2023-08-18,6,17,"$2,695.97"
US000009,919,USER ERROR,2023-08-18,0,0,$0.00
US000009,919,WEATHER,2023-08-18,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-19,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-19,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-19,1,1,$310.00
US000009,919,DUPLICATE RESERVATION,2023-08-19,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-19,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-19,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-19,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-19,0,0,$0.00
US000009,919,NON - GTD,2023-08-19,4,4,"$1,237.00"
US000009,919,RATE RESISTANCE,2023-08-19,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-19,0,0,$0.00
US000009,919,UNKNOWN,2023-08-19,5,9,"$1,279.22"
US000009,919,USER ERROR,2023-08-19,1,1,$340.00
US000009,919,WEATHER,2023-08-19,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-20,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-20,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-20,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-20,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-20,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-20,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-20,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-20,0,0,$0.00
US000009,919,NON - GTD,2023-08-20,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-20,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-20,0,0,$0.00
US000009,919,UNKNOWN,2023-08-20,3,6,"$1,025.24"
US000009,919,USER ERROR,2023-08-20,0,0,$0.00
US000009,919,WEATHER,2023-08-20,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-21,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-21,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-21,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-21,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-21,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-21,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-21,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-21,0,0,$0.00
US000009,919,NON - GTD,2023-08-21,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-21,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-21,0,0,$0.00
US000009,919,UNKNOWN,2023-08-21,2,2,$324.40
US000009,919,USER ERROR,2023-08-21,0,0,$0.00
US000009,919,WEATHER,2023-08-21,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-22,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-22,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-22,1,1,$176.00
US000009,919,DUPLICATE RESERVATION,2023-08-22,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-22,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-22,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-22,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-22,0,0,$0.00
US000009,919,NON - GTD,2023-08-22,1,2,$408.60
US000009,919,RATE RESISTANCE,2023-08-22,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-22,0,0,$0.00
US000009,919,UNKNOWN,2023-08-22,1,1,$155.75
US000009,919,USER ERROR,2023-08-22,0,0,$0.00
US000009,919,WEATHER,2023-08-22,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-23,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-23,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-23,6,7,"$1,405.10"
US000009,919,DUPLICATE RESERVATION,2023-08-23,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-23,1,1,$164.12
US000009,919,FLIGHT CANCELLATION,2023-08-23,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-23,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-23,0,0,$0.00
US000009,919,NON - GTD,2023-08-23,2,3,$767.00
US000009,919,RATE RESISTANCE,2023-08-23,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-23,0,0,$0.00
US000009,919,UNKNOWN,2023-08-23,12,28,"$3,689.08"
US000009,919,USER ERROR,2023-08-23,0,0,$0.00
US000009,919,WEATHER,2023-08-23,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-24,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-24,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-24,1,1,$285.00
US000009,919,DUPLICATE RESERVATION,2023-08-24,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-24,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-24,0,0,$0.00
