propertyCode,pullDateId,CancellationReason,CxlDate,Resv,RoomNights,RoomRev
USTX230301,920,HOTEL FEATURES,2023-08-06,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-06,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-06,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-06,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-06,2,3,$293.52
USTX230301,920,USER ERROR,2023-08-06,0,0,$0.00
USTX230301,920,WEATHER,2023-08-06,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-07,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-07,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-07,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-07,1,1,$109.00
USTX230301,920,FAMILY EMERGENCY,2023-08-07,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-07,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-07,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-07,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-07,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-07,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-07,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-07,1,1,$103.09
USTX230301,920,USER ERROR,2023-08-07,7,7,$427.00
USTX230301,920,WEATHER,2023-08-07,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-08,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-08,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-08,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-08,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-08,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-08,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-08,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-08,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-08,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-08,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-08,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-08,0,0,$0.00
USTX230301,920,USER ERROR,2023-08-08,1,1,$61.00
USTX230301,920,WEATHER,2023-08-08,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-09,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-09,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-09,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-09,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-09,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-09,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-09,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-09,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-09,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-09,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-09,0,0,$0.00
