propertyCode,pullDateId,ACCOUNT,AUTH_STATUS,CREATED_AT,UPDATED_AT
USTX230301,994,884196138,No Auth,'2023-10-31T21:00:44.189626+05:30','2023-10-31T21:00:44.189626+05:30'
USTX230301,994,884196404,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884196692,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884198984,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884199969,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884202433,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884296052,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884664412,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884812722,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884815436,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884950723,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,884950727,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,885105772,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,885476696,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,885476721,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,885628660,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,885862642,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,885901565,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,886012682,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,886040183,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,886059160,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,886164361,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,886237892,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,886703154,No Auth,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,886745145,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,887079434,,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,887112048,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,887438993,Authorized,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,887614288,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,887690959,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,887796480,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,887995332,Settled,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,888000014,Error,'2023-10-31T21:00:44.190231+05:30','2023-10-31T21:00:44.190231+05:30'
USTX230301,994,888309867,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888458777,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888577773,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888635118,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888679686,,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888728619,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888762091,,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888770191,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,888784691,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889361595,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889361596,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889361637,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889361638,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889401367,Settled,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889457085,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889637701,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889696613,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,889719705,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,890173077,,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
