propertyCode,pullDateId,IDS_DATE_DAY,RateCode,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG
USTX230301,920,2023-09-12,BAR,9,25,915.00,29.77,101.67
USTX230301,920,2023-09-12,NO SHOW,0,0,94.00,3.06,0.00
USTX230301,920,2023-09-12,LWI2,3,8,253.80,8.26,84.60
USTX230301,920,2023-09-12,LOPQ2,2,5,124.60,4.05,62.30
USTX230301,920,2023-09-12,LEXP,3,8,224.28,7.30,74.76
USTX230301,920,2023-09-12,LCLC,1,2,61.00,1.98,61.00
USTX230301,920,2023-09-12,LCAPE,1,2,84.00,2.73,84.00
USTX230301,920,2023-09-12,LCAE,1,2,84.00,2.73,84.00
USTX230301,920,2023-09-12,LATP,1,2,74.00,2.41,74.00
USTX230301,920,2023-09-13,SSC,1,1,107.10,1.26,107.10
USTX230301,920,2023-09-13,SRTL,7,9,849.00,10.01,121.29
USTX230301,920,2023-09-13,SCPM,6,8,752.37,8.87,125.40
USTX230301,920,2023-09-13,SBOOK,6,8,773.00,9.11,128.83
USTX230301,920,2023-09-13,SAPR2X,2,2,123.22,1.45,61.61
USTX230301,920,2023-09-13,S3A,2,2,268.20,3.16,134.10
USTX230301,920,2023-09-13,BAR,13,17,"1,757.00",20.71,135.15
USTX230301,920,2023-09-13,NO SHOW,0,0,614.74,7.25,0.00
USTX230301,920,2023-09-13,LWTO,2,2,141.00,1.66,70.50
USTX230301,920,2023-09-13,LWI2,4,5,437.40,5.16,109.35
USTX230301,920,2023-09-13,LTRAV,16,21,976.00,11.50,61.00
USTX230301,920,2023-09-13,LEXP,4,5,411.60,4.85,102.90
USTX230301,920,2023-09-13,LCLC,1,1,61.00,0.72,61.00
USTX230301,920,2023-09-13,LCAPE,1,1,84.00,0.99,84.00
USTX230301,920,2023-09-13,LCAE,1,1,84.00,0.99,84.00
USTX230301,920,2023-09-13,LATP,1,1,74.00,0.87,74.00
USTX230301,920,2023-09-13,GROUP~,8,10,970.70,11.44,121.34
USTX230301,920,2023-09-14,SRTL,16,19,"2,277.00",22.88,142.31
USTX230301,920,2023-09-14,SPC,1,1,134.10,1.35,134.10
USTX230301,920,2023-09-14,SNP,1,1,95.20,0.96,95.20
USTX230301,920,2023-09-14,SCPM,4,4,662.28,6.65,165.57
USTX230301,920,2023-09-14,SC15,1,1,130.90,1.32,130.90
USTX230301,920,2023-09-14,SBOOK,9,10,"1,255.00",12.61,139.44
USTX230301,920,2023-09-14,SAPR2X,3,3,182.94,1.84,60.98
USTX230301,920,2023-09-14,SAPR2M,1,1,118.85,1.19,118.85
USTX230301,920,2023-09-14,SAGOD,1,1,101.15,1.02,101.15
USTX230301,920,2023-09-14,S3A,2,2,268.20,2.69,134.10
USTX230301,920,2023-09-14,BAR,6,7,737.00,7.40,122.83
USTX230301,920,2023-09-14,NO SHOW,0,0,450.57,4.53,0.00
USTX230301,920,2023-09-14,LWTO,1,1,59.25,0.60,59.25
USTX230301,920,2023-09-14,LWI2,2,2,218.70,2.20,109.35
USTX230301,920,2023-09-14,LTRAV,13,15,793.00,7.97,61.00
USTX230301,920,2023-09-14,LEXP,9,10,"1,037.40",10.42,115.27
USTX230301,920,2023-09-14,LCLC,1,1,61.00,0.61,61.00
USTX230301,920,2023-09-14,LCAPE,1,1,84.00,0.84,84.00
USTX230301,920,2023-09-14,LCAE,2,2,168.00,1.69,84.00
USTX230301,920,2023-09-14,LATP,2,2,148.00,1.49,74.00
